objectid,Tipo de Trecho,Jurisdição,Administração,Concessionária,Revestimento,Operacionalização,Situação Física,Tráfego,Canteiro,Capacidade de Carga,Número de Faixas,st_length_,ID,geometria,Código de Trecho,shape,st_length(shape)
1,2,1,0, ,3,1,5,1,0,0,0,3.7099573,1,2,BR 232,,3.709957298186838
9,2,1,0, ,3,1,5,1,0,0,0,0.33984735,9,2,BR 408,,0.33984735062464333
2,2,1,0, ,3,1,5,1,0,0,0,1.26672017,2,2,BR 428,,1.266720174564144
3,2,1,0, ,3,1,5,1,0,0,0,0.78055938,3,2,BR 110,,0.7805593820883533
4,2,1,0, ,3,1,5,1,0,0,0,0.06032569,4,2,BR 424,,0.06032569139380998
5,2,1,0, ,3,1,5,1,0,0,0,0.14301204,5,2,BR 101,,0.14301204400786097
6,2,1,0, ,3,1,5,1,0,0,0,1.17072944,6,2,BR 407,,1.170729436034847
7,2,1,0, ,3,1,5,1,0,0,0,1.35454029,7,2,BR 104,,1.354540293601511
8,2,1,0, ,3,1,5,1,0,0,0,0.08179471,8,2,BR 424,,0.0817947074601466
10,2,1,0, ,3,1,5,1,0,0,0,1.30061476,10,2,BR 316,,1.3006147648464605
11,2,1,0, ,3,1,5,1,0,0,0,0.83625881,11,2,BR 116,,0.8362588062206885
12,2,1,0, ,3,1,5,1,0,0,0,1.60990809,12,2,BR 423,,1.609908086460739
13,2,1,0, ,3,1,5,1,0,0,0,1.34279327,13,2,BR 316,,1.3427932650177878
14,2,1,0, ,3,1,5,1,0,0,0,0.19242901,14,2,BR 316,,0.19242900634324195
63,2,1,0, ,3,1,5,1,0,0,0,0.39832164,63,2,BR 110,,0.39832163686938554
273,2,1,0, ,3,1,5,1,0,0,2,0.36255271,273,2,BR 101,,0.3625527144837743
339,2,1,0, ,3,1,5,1,0,0,2,0.13609935,339,2,BR 101,,0.13609935267752757
340,2,1,0, ,3,1,5,1,0,0,3,0.10077004,340,2,BR 101,,0.10077003590236383
353,2,1,0, ,3,1,5,1,0,0,0,0.14116813,353,2,BR 101,,0.14120006868846924
354,2,1,0, ,3,1,5,1,0,0,2,0.00851476,354,2,BR 101,,0.008514763560960774
411,2,1,0, ,3,1,5,1,0,0,0,0.38851109,411,2,BR 316/110,,0.3885110866272389
412,2,1,0, ,3,1,5,1,0,0,0,0.05158236,412,2,BR 424,,0.05158235839066584
639,2,1,0, ,3,1,5,1,0,0,0,0.06608328,639,2,BR 424,,0.06608327943237412
640,2,1,0, ,3,1,5,1,0,0,0,0.07608605,640,2,BR 424,,0.07608605256356062
637,2,1,0, ,3,1,5,1,0,0,0,0.07348232,637,2,BR 424,,0.07348231923507698
638,2,1,0, ,3,1,5,1,0,0,0,0.02872244,638,2,BR 424,,0.028722438000416375
671,2,1,0, ,1,1,5,2,0,0,0,0.18508273,671,2,BR 316,,0.1850827320768321
678,2,1,0, ,3,1,5,1,0,0,0,0.0803547,678,2,BR 424,,0.08035469917446084
718,2,1,0, ,3,1,5,1,0,0,0,0.00787529,718,2,BR 424,,0.007875285627178088
719,2,1,0, ,3,1,5,1,0,0,0,0.04271967,719,2,BR 424,,0.04271967367614413
720,2,1,0, ,3,1,5,1,0,0,0,0.02317162,720,2,BR 424,,0.023171619834370362
754,2,1,0, ,3,1,5,1,0,0,2,0.37357464,754,2,BR 408,,0.3735746442616364
814,2,1,0, ,3,1,5,1,0,0,2,1.30561239,814,2,BR 232,,1.3056123890648978
877,2,1,0, ,3,1,5,1,0,0,0,0.13926189,877,2,BR 424,,0.1392618861459365
878,2,1,0, ,3,1,5,1,0,0,0,0.02066412,878,2,BR 424,,0.020664117600047983
879,2,1,0, ,3,1,5,1,0,0,0,0.21842193,879,2,BR 424,,0.2184219345703854
880,2,1,0, ,3,1,5,1,0,0,0,0.07557058,880,2,BR 424,,0.07557058388652499
881,2,1,0, ,3,1,5,1,0,0,0,0.03993177,881,2,BR 424,,0.039931773454716796
882,2,1,0, ,3,1,5,1,0,0,0,0.08616121,882,2,BR 424,,0.08616120819541852
883,2,1,0, ,3,1,5,1,0,0,0,0.02705478,883,2,BR 424,,0.027054775521084092
884,2,1,0, ,3,1,5,1,0,0,0,0.07205474,884,2,BR 424,,0.07205473607659496
885,2,1,0, ,3,1,5,1,0,0,0,0.08681819,885,2,BR 101,,0.086818190265979
886,2,1,0, ,3,1,5,1,0,0,0,0.04983095,886,2,BR 101,,0.04983095363601728
887,2,1,0, ,3,1,5,1,0,0,0,0.0827242,887,2,BR 101,,0.0827242026129424
888,2,1,0, ,3,1,5,1,0,0,0,0.0328573,888,2,BR 101,,0.03285729819374031
889,2,1,0, ,3,1,5,1,0,0,0,0.05207273,889,2,BR 101,,0.05207273402394302
890,2,1,0, ,3,1,5,1,0,0,0,0.01759907,890,2,BR 101,,0.017599065732793098
891,2,1,0, ,3,1,5,1,0,0,0,0.18836021,891,2,BR 101,,0.18836021054766386
892,2,1,0, ,3,1,5,1,0,0,0,0.07079336,892,2,BR 101,,0.0707933551576745
893,2,1,0, ,3,1,5,1,0,0,0,0.00441921,893,2,BR 101,,0.004419211895030132
894,2,1,0, ,3,1,5,1,0,0,0,0.11816417,894,2,BR 101,,0.11816416711933458
895,2,1,0, ,3,1,5,1,0,0,0,0.01123428,895,2,BR 101,,0.01123427543270835
896,2,1,0, ,3,1,5,1,0,0,0,0.04272767,896,2,BR 101,,0.042727667934084126
897,2,1,0, ,3,1,5,1,0,0,0,0.04971681,897,2,BR 101,,0.0497168097077295
898,2,1,0, ,3,1,5,1,0,0,0,0.02817763,898,2,BR 101,,0.02817763472004612
899,2,1,0, ,3,1,5,1,0,0,0,0.05055549,899,2,BR 101,,0.05055548668143126
900,2,1,0, ,3,1,5,1,0,0,0,0.00258929,900,2,BR 101,,0.0025892939026310848
901,2,1,0, ,3,1,5,1,0,0,0,0.0483371,901,2,BR 101,,0.04833709763763319
902,2,1,0, ,3,1,5,1,0,0,0,0.03786849,902,2,BR 101,,0.03786849422180089
903,2,1,0, ,3,1,5,1,0,0,0,0.01746634,903,2,BR 101,,0.017466336797419855
904,2,1,0, ,3,1,5,1,0,0,0,0.045835,904,2,BR 101,,0.045834998823513155
905,2,1,0, ,3,1,5,1,0,0,0,0.23082367,905,2,BR 082/408,,0.23082366629036843
976,2,1,0, ,3,1,5,1,0,0,0,0.48051773,976,2,BR 428/122,,0.48051772680084803
973,2,1,0, ,1,1,5,2,0,0,0,0.15182917,973,2,BR 316,,0.15182916639947322
974,2,1,0, ,1,1,5,2,0,0,0,0.12073784,974,2,BR 316,,0.12073783739701578
