the_geom,trafego,objectid,tipo_de_trecho,jurisdicao,administracao,concessionaria,revestimento,operacionalizacao,situacao_fisica,cartodb_id,canteiro,capacidade_de_carga,numero_de_faixas,st_length_,id,geometria,codigo_de_trecho,shape,st_length_shape
,1,1,2,1,0, ,3,1,5,1,0,0,0,3.7099573,1,2,BR 232,,3.70995729818684
,1,9,2,1,0, ,3,1,5,2,0,0,0,0.33984735,9,2,BR 408,,0.339847350624643
,1,2,2,1,0, ,3,1,5,3,0,0,0,1.26672017,2,2,BR 428,,1.26672017456414
,1,3,2,1,0, ,3,1,5,4,0,0,0,0.78055938,3,2,BR 110,,0.780559382088353
,1,4,2,1,0, ,3,1,5,5,0,0,0,0.06032569,4,2,BR 424,,0.06032569139381
,1,5,2,1,0, ,3,1,5,6,0,0,0,0.14301204,5,2,BR 101,,0.143012044007861
,1,6,2,1,0, ,3,1,5,7,0,0,0,1.17072944,6,2,BR 407,,1.17072943603485
,1,7,2,1,0, ,3,1,5,8,0,0,0,1.35454029,7,2,BR 104,,1.35454029360151
,1,8,2,1,0, ,3,1,5,9,0,0,0,0.08179471,8,2,BR 424,,0.0817947074601466
,1,10,2,1,0, ,3,1,5,10,0,0,0,1.30061476,10,2,BR 316,,1.30061476484646
,1,11,2,1,0, ,3,1,5,11,0,0,0,0.83625881,11,2,BR 116,,0.836258806220688
,1,12,2,1,0, ,3,1,5,12,0,0,0,1.60990809,12,2,BR 423,,1.60990808646074
,1,13,2,1,0, ,3,1,5,13,0,0,0,1.34279327,13,2,BR 316,,1.34279326501779
,1,14,2,1,0, ,3,1,5,14,0,0,0,0.19242901,14,2,BR 316,,0.192429006343242
,1,63,2,1,0, ,3,1,5,15,0,0,0,0.39832164,63,2,BR 110,,0.398321636869386
,1,273,2,1,0, ,3,1,5,16,0,0,2,0.36255271,273,2,BR 101,,0.362552714483774
,1,339,2,1,0, ,3,1,5,17,0,0,2,0.13609935,339,2,BR 101,,0.136099352677528
,1,340,2,1,0, ,3,1,5,18,0,0,3,0.10077004,340,2,BR 101,,0.100770035902364
,1,353,2,1,0, ,3,1,5,19,0,0,0,0.14116813,353,2,BR 101,,0.141200068688469
,1,354,2,1,0, ,3,1,5,20,0,0,2,0.00851476,354,2,BR 101,,0.00851476356096077
,1,411,2,1,0, ,3,1,5,21,0,0,0,0.38851109,411,2,BR 316/110,,0.388511086627239
,1,412,2,1,0, ,3,1,5,22,0,0,0,0.05158236,412,2,BR 424,,0.0515823583906658
,1,639,2,1,0, ,3,1,5,23,0,0,0,0.06608328,639,2,BR 424,,0.0660832794323741
,1,640,2,1,0, ,3,1,5,24,0,0,0,0.07608605,640,2,BR 424,,0.0760860525635606
,1,637,2,1,0, ,3,1,5,25,0,0,0,0.07348232,637,2,BR 424,,0.073482319235077
,1,638,2,1,0, ,3,1,5,26,0,0,0,0.02872244,638,2,BR 424,,0.0287224380004164
,2,671,2,1,0, ,1,1,5,27,0,0,0,0.18508273,671,2,BR 316,,0.185082732076832
,1,678,2,1,0, ,3,1,5,28,0,0,0,0.0803547,678,2,BR 424,,0.0803546991744608
,1,718,2,1,0, ,3,1,5,29,0,0,0,0.00787529,718,2,BR 424,,0.00787528562717809
,1,719,2,1,0, ,3,1,5,30,0,0,0,0.04271967,719,2,BR 424,,0.0427196736761441
,1,720,2,1,0, ,3,1,5,31,0,0,0,0.02317162,720,2,BR 424,,0.0231716198343704
,1,754,2,1,0, ,3,1,5,32,0,0,2,0.37357464,754,2,BR 408,,0.373574644261636
,1,814,2,1,0, ,3,1,5,33,0,0,2,1.30561239,814,2,BR 232,,1.3056123890649
,1,877,2,1,0, ,3,1,5,34,0,0,0,0.13926189,877,2,BR 424,,0.139261886145936
,1,878,2,1,0, ,3,1,5,35,0,0,0,0.02066412,878,2,BR 424,,0.020664117600048
,1,879,2,1,0, ,3,1,5,36,0,0,0,0.21842193,879,2,BR 424,,0.218421934570385
,1,880,2,1,0, ,3,1,5,37,0,0,0,0.07557058,880,2,BR 424,,0.075570583886525
,1,881,2,1,0, ,3,1,5,38,0,0,0,0.03993177,881,2,BR 424,,0.0399317734547168
,1,882,2,1,0, ,3,1,5,39,0,0,0,0.08616121,882,2,BR 424,,0.0861612081954185
,1,883,2,1,0, ,3,1,5,40,0,0,0,0.02705478,883,2,BR 424,,0.0270547755210841
,1,884,2,1,0, ,3,1,5,41,0,0,0,0.07205474,884,2,BR 424,,0.072054736076595
,1,885,2,1,0, ,3,1,5,42,0,0,0,0.08681819,885,2,BR 101,,0.086818190265979
,1,886,2,1,0, ,3,1,5,43,0,0,0,0.04983095,886,2,BR 101,,0.0498309536360173
,1,887,2,1,0, ,3,1,5,44,0,0,0,0.0827242,887,2,BR 101,,0.0827242026129424
,1,888,2,1,0, ,3,1,5,45,0,0,0,0.0328573,888,2,BR 101,,0.0328572981937403
,1,889,2,1,0, ,3,1,5,46,0,0,0,0.05207273,889,2,BR 101,,0.052072734023943
,1,890,2,1,0, ,3,1,5,47,0,0,0,0.01759907,890,2,BR 101,,0.0175990657327931
,1,891,2,1,0, ,3,1,5,48,0,0,0,0.18836021,891,2,BR 101,,0.188360210547664
,1,892,2,1,0, ,3,1,5,49,0,0,0,0.07079336,892,2,BR 101,,0.0707933551576745
,1,893,2,1,0, ,3,1,5,50,0,0,0,0.00441921,893,2,BR 101,,0.00441921189503013
,1,894,2,1,0, ,3,1,5,51,0,0,0,0.11816417,894,2,BR 101,,0.118164167119335
,1,895,2,1,0, ,3,1,5,52,0,0,0,0.01123428,895,2,BR 101,,0.0112342754327084
,1,896,2,1,0, ,3,1,5,53,0,0,0,0.04272767,896,2,BR 101,,0.0427276679340841
,1,897,2,1,0, ,3,1,5,54,0,0,0,0.04971681,897,2,BR 101,,0.0497168097077295
,1,898,2,1,0, ,3,1,5,55,0,0,0,0.02817763,898,2,BR 101,,0.0281776347200461
,1,899,2,1,0, ,3,1,5,56,0,0,0,0.05055549,899,2,BR 101,,0.0505554866814313
,1,900,2,1,0, ,3,1,5,57,0,0,0,0.00258929,900,2,BR 101,,0.00258929390263108
,1,901,2,1,0, ,3,1,5,58,0,0,0,0.0483371,901,2,BR 101,,0.0483370976376332
,1,902,2,1,0, ,3,1,5,59,0,0,0,0.03786849,902,2,BR 101,,0.0378684942218009
,1,903,2,1,0, ,3,1,5,60,0,0,0,0.01746634,903,2,BR 101,,0.0174663367974199
,1,904,2,1,0, ,3,1,5,61,0,0,0,0.045835,904,2,BR 101,,0.0458349988235132
,1,905,2,1,0, ,3,1,5,62,0,0,0,0.23082367,905,2,BR 082/408,,0.230823666290368
,1,976,2,1,0, ,3,1,5,63,0,0,0,0.48051773,976,2,BR 428/122,,0.480517726800848
,2,973,2,1,0, ,1,1,5,64,0,0,0,0.15182917,973,2,BR 316,,0.151829166399473
,2,974,2,1,0, ,1,1,5,65,0,0,0,0.12073784,974,2,BR 316,,0.120737837397016
